week,crude_oil,cpi,coal_consumption,ngas_consumption,us_pop,oil_production,tree_cover_loss,us_real_gdp,co2
2001/1/7,27.8,78.64598465,96641.56859,963475.8748,283960,5944,1932323.219,12999.5699,370.3
2001/1/14,28.81,68.15853647,89172.96037,901002.2698,284011.5,5949,2174659.188,12293.3405,370.67
2001/1/21,30.63,76.14942563,100533.6877,1032449.959,284063,5912,2335532.223,12708.8104,370.52
2001/1/28,31.35,76.11622408,101753.6219,826014.7033,284114.5,5935,2065545.899,12287.2265,371.36
2001/2/4,29.59,66.69315146,61448.50321,776629.6124,284166,5929,1989475.501,13353.2628,371.58
2001/2/11,30.92,78.37142503,84750.18929,466643.0293,284219.5,5866,2066730.206,13160.5703,371.96
2001/2/18,29.67,72.13921576,84421.53821,723881.2625,284273,5857,2109343.244,13254.4479,371.48
2001/2/25,28.65,67.89534477,96753.46242,781527.3435,284326.5,5875,1643721.796,14286.1856,371.73
2001/3/4,27.91,83.70191158,74788.0529,801230.0907,284380,5876,1871222.473,13335.2892,372.19
2001/3/11,28.45,67.89681433,86535.42025,554040.012,284435.5,5868,2158972.973,12555.2654,372.53
2001/3/18,27.02,77.31721431,68384.00834,327125.4379,284491,5883,1973350.649,13146.4006,372.54
2001/3/25,26.42,71.87011298,74962.95365,624013.0521,284546.5,5868,1728742.189,11982.2289,372.4
2001/4/1,26.86,74.86245642,90444.57488,614474.9072,284602,5883,2248741.369,13936.6979,372.45
2001/4/8,26.76,67.84048567,71861.08162,436068.6622,284648.4,5867,1724128.479,12809.3245,373.61
2001/4/15,28.27,82.22901722,76914.86811,449159.7901,284694.8,5855,1956950.159,13474.2006,373.71
2001/4/22,27.89,76.82493104,73912.39968,-37896.8606,284741.2,5861,1366131.633,13236.222,373.6
2001/4/29,26.99,76.89867482,80575.04556,444417.3623,284787.6,5884,1529740.048,12673.8415,373.55
2001/5/6,28.36,72.54530278,81810.27979,357581.5225,284834,5831,1769606.334,13062.4278,373.93
2001/5/13,28.12,69.8759023,71621.89234,287914.7056,284894.5,5780,1777310.798,12797.0577,373.7
2001/5/20,29.08,82.92414664,88625.35871,234652.5114,284955,5785,1670705.657,12918.3693,373.9
2001/5/27,28.92,80.29238407,91775.87921,-145009.096,285015.5,5819,1971662.18,13516.3057,373.87
2001/6/3,28.44,74.89502894,91169.67268,219498.1585,285076,5823,1778599.048,13277.8218,373.47
2001/6/10,27.98,70.46184594,109491.096,237785.7849,285138,5746,1609818.609,13622.3093,373.05
2001/6/17,28.9,71.13423402,90591.22951,83703.8947,285200,5726,2197730.391,12666.4285,373.11
2001/6/24,27.09,79.66635312,95857.9364,-1637.6973,285262,5740,1616553.162,13307.9349,373.02
2001/7/1,26.37,73.72712971,88596.12135,276125.823,285324,5756,1923916.979,12822.0243,372.48
2001/7/8,26.87,74.63466547,94102.59202,317751.2678,285376,5756,1930585.615,13434.4618,371.34
2001/7/15,27.07,70.25117924,100721.3648,153222.75,285428,5770,1847804.611,13502.6079,371.3
2001/7/22,25.26,71.84062777,98759.97325,342177.9996,285480,5731,1848049.015,12650.6364,370.87
2001/7/29,26.5,75.48345572,98805.41667,99451.5036,285532,5705,1922362.125,13098.5702,370.88
2001/8/5,27.1,78.64421125,101402.4441,380137.4567,285584,5745,1837875.458,13617.5645,369.92
2001/8/12,27.87,77.18862354,86869.22199,448319.6509,285648.5,5773,1936273.876,13759.6033,369.2
2001/8/19,27.52,76.37143702,96250.4936,175400.4891,285713,5785,1842632.946,13217.0956,369.32
2001/8/26,27.25,72.09095966,97646.81529,224992.4535,285777.5,5796,1923290.418,13211.8681,369.28
2001/9/2,26.84,75.37854563,86686.25911,166890.2157,285842,5751,1952308.639,13661.2323,368.33
2001/9/9,27.38,72.33465495,81028.86424,186880.7679,285890.8,5829,1793662.931,13621.525,368.56
2001/9/16,28.22,67.9353392,99962.31283,56931.9855,285939.6,5814,1810884.386,12966.6297,368.05
2001/9/23,27.09,77.76863067,86584.26744,85695.7084,285988.4,5789,2045606.773,12986.1702,367.81
2001/9/30,22.35,80.19580186,82340.4635,236333.988,286037.2,5735,2243707.27,13716.9723,368.04
2001/10/7,22.6,74.8849383,82445.40558,499890.8444,286086,5736,2189230.576,13773.14,368.29
2001/10/14,22.66,68.19160178,86245.32827,375579.2828,286143.3,5515,2044808.161,12747.7991,368.17
2001/10/21,21.92,73.44810923,91529.48427,377700.2913,286200.5,5828,2150356.376,13255.78,368.71
2001/10/28,21.78,66.87181278,103210.7549,-686.4205,286257.8,5879,2052685.323,13310.2116,369.13
2001/11/4,21.17,77.81698398,76203.64926,155372.8273,286315,5859,2119731.198,13215.4319,369.09
2001/11/11,20.7,81.81692344,92314.97755,412269.7947,286369.5,5863,2368488.884,13608.3161,369.83
2001/11/18,19.61,78.20220113,82604.24906,209014.6353,286424,5872,1872005.055,12859.7232,370.22
2001/11/25,18.28,74.90162696,81756.45007,330707.5861,286478.5,5882,1565301.57,13554.8683,370.44
2001/12/2,19.13,70.25785556,82781.83495,585974.5307,286533,5873,2156158.095,12224.9609,370.78
2001/12/9,19.47,62.47886579,87165.97138,521133.6214,286574.2,5856,2022969.94,12558.4914,371.23
2001/12/16,18.45,71.74050265,83744.99162,635925.7014,286615.4,5884,1946684.975,13737.7397,371.27
2001/12/23,19.2,68.47152543,91154.87181,427109.3091,286656.6,5911,2013295.659,13511.3446,371.69
